3308688
epoch= 0 	 time= 0.13256624937057496 min 	 loss= 1.4832624674659887
epoch= 1 	 time= 0.26514558792114257 min 	 loss= 0.7368104187388943
epoch= 2 	 time= 0.3986299276351929 min 	 loss= 0.7295586485415697
epoch= 3 	 time= 0.5301233847935994 min 	 loss= 0.7232903609537098
epoch= 4 	 time= 0.6623522520065308 min 	 loss= 0.7098395482011853
epoch= 5 	 time= 0.7969350576400757 min 	 loss= 0.7004976358315717
epoch= 6 	 time= 0.9311084032058716 min 	 loss= 0.6991787030272287
epoch= 7 	 time= 1.0648734370867412 min 	 loss= 0.6890407485810861
epoch= 8 	 time= 1.1986097971598306 min 	 loss= 0.6824733684324238
epoch= 9 	 time= 1.3549065510431926 min 	 loss= 0.6715075065420099
epoch= 10 	 time= 1.5695444703102113 min 	 loss= 0.6594011737161303
epoch= 11 	 time= 1.7853607416152955 min 	 loss= 0.6640394436169977
epoch= 12 	 time= 2.0014732837677003 min 	 loss= 0.6486292674831332
epoch= 13 	 time= 2.2163283228874207 min 	 loss= 0.6305112123030098
epoch= 14 	 time= 2.4307193716367084 min 	 loss= 0.6161788641794087
epoch= 15 	 time= 2.6477535883585612 min 	 loss= 0.6041035438849501
epoch= 16 	 time= 2.867912964026133 min 	 loss= 0.5854570281832185
epoch= 17 	 time= 3.088268299897512 min 	 loss= 0.5786314639581801
epoch= 18 	 time= 3.3052860061327616 min 	 loss= 0.5714789383521636
epoch= 19 	 time= 3.521477444966634 min 	 loss= 0.5593713971033488
epoch= 20 	 time= 3.740019909540812 min 	 loss= 0.5535242616466872
epoch= 21 	 time= 3.9567145029703776 min 	 loss= 0.5498136270995417
epoch= 22 	 time= 4.176724485556284 min 	 loss= 0.5421263483187108
epoch= 23 	 time= 4.39291588862737 min 	 loss= 0.5348435218911618
epoch= 24 	 time= 4.608293394247691 min 	 loss= 0.5350339831146476
epoch= 25 	 time= 4.8263317783673605 min 	 loss= 0.5249853508725558
epoch= 26 	 time= 5.04481657743454 min 	 loss= 0.5207829380484477
epoch= 27 	 time= 5.262622229258219 min 	 loss= 0.515569022588738
epoch= 28 	 time= 5.478571152687072 min 	 loss= 0.5137945378888144
epoch= 29 	 time= 5.695044684410095 min 	 loss= 0.5111454759966837
epoch= 30 	 time= 5.931662213802338 min 	 loss= 0.5032252838758573
epoch= 31 	 time= 6.252650026480357 min 	 loss= 0.5017416748004544
epoch= 32 	 time= 6.570190036296845 min 	 loss= 0.5034178295874432
epoch= 33 	 time= 6.888423502445221 min 	 loss= 0.4936247378179472
epoch= 34 	 time= 7.208622113863627 min 	 loss= 0.49718676711598486
epoch= 35 	 time= 7.528569531440735 min 	 loss= 0.48962588659296297
epoch= 36 	 time= 7.848039762179057 min 	 loss= 0.4871848345006982
epoch= 37 	 time= 8.168725943565368 min 	 loss= 0.4821771654166434
epoch= 38 	 time= 8.487116650740306 min 	 loss= 0.48140155245575494
epoch= 39 	 time= 8.807960434754689 min 	 loss= 0.4769713058557412
epoch= 40 	 time= 9.129369378089905 min 	 loss= 0.4829365799382125
epoch= 41 	 time= 9.447413432598115 min 	 loss= 0.4762425422668457
epoch= 42 	 time= 9.763787774244944 min 	 loss= 0.46999367010103515
epoch= 43 	 time= 10.08732887506485 min 	 loss= 0.4683398146258846
epoch= 44 	 time= 10.403044466177622 min 	 loss= 0.4714438925969274
epoch= 45 	 time= 10.72453267176946 min 	 loss= 0.46663960068780064
epoch= 46 	 time= 11.046729918320974 min 	 loss= 0.4623282263438179
epoch= 47 	 time= 11.365938969453175 min 	 loss= 0.46232948993166834
epoch= 48 	 time= 11.683107487360637 min 	 loss= 0.4621562195354945
epoch= 49 	 time= 12.003671153386433 min 	 loss= 0.4639548025770138
epoch= 50 	 time= 12.322894942760467 min 	 loss= 0.4574297665529055
epoch= 51 	 time= 12.641034622987112 min 	 loss= 0.45613730076241166
epoch= 52 	 time= 12.967965098222097 min 	 loss= 0.4551112971281352
epoch= 53 	 time= 13.286423337459563 min 	 loss= 0.4511225266407614
epoch= 54 	 time= 13.607993932565053 min 	 loss= 0.4498898050148193
epoch= 55 	 time= 13.93365345398585 min 	 loss= 0.45115892404502206
epoch= 56 	 time= 14.254128702481587 min 	 loss= 0.4498260804541307
epoch= 57 	 time= 14.573976655801138 min 	 loss= 0.4493050038661451
epoch= 58 	 time= 14.895750164985657 min 	 loss= 0.44527743177564993
epoch= 59 	 time= 15.210139461358388 min 	 loss= 0.443887541759504
epoch= 60 	 time= 15.528609399000803 min 	 loss= 0.44263703406992533
epoch= 61 	 time= 15.849999992052714 min 	 loss= 0.4400072559101941
epoch= 62 	 time= 16.1712864836057 min 	 loss= 0.4380399106095915
epoch= 63 	 time= 16.488465770085654 min 	 loss= 0.4372251401719165
epoch= 64 	 time= 16.813115366299947 min 	 loss= 0.4346613469087098
epoch= 65 	 time= 17.132616217931112 min 	 loss= 0.4323941533492036
epoch= 66 	 time= 17.454614571730296 min 	 loss= 0.4333229602764246
epoch= 67 	 time= 17.776824367046355 min 	 loss= 0.4322034353434191
epoch= 68 	 time= 18.193898157278696 min 	 loss= 0.4285114967397395
epoch= 69 	 time= 18.6231525460879 min 	 loss= 0.430429509649538
epoch= 70 	 time= 19.049007085959115 min 	 loss= 0.42831745651895053
epoch= 71 	 time= 19.476041181882223 min 	 loss= 0.4235094126364956
epoch= 72 	 time= 19.9020743171374 min 	 loss= 0.42354366928339005
epoch= 73 	 time= 20.326048493385315 min 	 loss= 0.4242314094396895
epoch= 74 	 time= 20.75345454613368 min 	 loss= 0.4250181173931246
epoch= 75 	 time= 21.180111173788706 min 	 loss= 0.420470579807991
epoch= 76 	 time= 21.606666235129037 min 	 loss= 0.4196027524718275
