3308688
epoch= 0 	 time= 0.3165111978848775 min 	 loss= 1.2123697970401157
epoch= 1 	 time= 0.6365232547124227 min 	 loss= 0.7323003271763975
epoch= 2 	 time= 0.952545702457428 min 	 loss= 0.7171739097345959
epoch= 3 	 time= 1.2722924590110778 min 	 loss= 0.688695230199532
epoch= 4 	 time= 1.8226454734802247 min 	 loss= 0.6958959927951748
epoch= 5 	 time= 2.430951758225759 min 	 loss= 0.6648655675436286
epoch= 6 	 time= 3.041897503534953 min 	 loss= 0.6503231400115923
epoch= 7 	 time= 3.652202586332957 min 	 loss= 0.6308011922815984
epoch= 8 	 time= 4.264794158935547 min 	 loss= 0.6115163769234311
epoch= 9 	 time= 4.875031451384227 min 	 loss= 0.6063329206102274
epoch= 10 	 time= 5.491505857308706 min 	 loss= 0.5932781065729531
epoch= 11 	 time= 5.867838950951894 min 	 loss= 0.5664555277103897
epoch= 12 	 time= 6.194273519515991 min 	 loss= 0.5580527978864583
epoch= 13 	 time= 6.513723254203796 min 	 loss= 0.5517536448738114
epoch= 14 	 time= 6.842201522986094 min 	 loss= 0.568525962760164
epoch= 15 	 time= 7.1663424928983055 min 	 loss= 0.5436082313853231
epoch= 16 	 time= 7.493065937360128 min 	 loss= 0.5251519949598746
epoch= 17 	 time= 7.792324805259705 min 	 loss= 0.5303946698846465
epoch= 18 	 time= 7.994738233089447 min 	 loss= 0.5229494761675596
epoch= 19 	 time= 8.19976548353831 min 	 loss= 0.5112239144065164
Finish Training
epoch= 0 	 time= 8.401175745328267 min 	 loss= 0.6267808854579926
epoch= 1 	 time= 8.60193266471227 min 	 loss= 0.5723675308622082
epoch= 2 	 time= 8.800834000110626 min 	 loss= 0.5697938944128427
epoch= 3 	 time= 9.006659519672393 min 	 loss= 0.5441989081827077
epoch= 4 	 time= 9.210116712252299 min 	 loss= 0.5396199833368882
epoch= 5 	 time= 9.414030075073242 min 	 loss= 0.5314048148120161
epoch= 6 	 time= 9.61450599829356 min 	 loss= 0.5246463937875392
epoch= 7 	 time= 9.8179261247317 min 	 loss= 0.5263776500455358
epoch= 8 	 time= 10.01893527507782 min 	 loss= 0.5150052532013929
epoch= 9 	 time= 10.219978523254394 min 	 loss= 0.5158034459433772
epoch= 10 	 time= 10.424056760470073 min 	 loss= 0.5141690843823281
epoch= 11 	 time= 10.622531632582346 min 	 loss= 0.5112590078264475
epoch= 12 	 time= 10.824381562074025 min 	 loss= 0.5070859860734676
epoch= 13 	 time= 11.025264195601146 min 	 loss= 0.50018144754259
epoch= 14 	 time= 11.226797640323639 min 	 loss= 0.502300128069791
epoch= 15 	 time= 11.428112276395161 min 	 loss= 0.4893634029410102
epoch= 16 	 time= 11.628199418385824 min 	 loss= 0.486594061733922
epoch= 17 	 time= 11.84028043349584 min 	 loss= 0.4892944718054919
epoch= 18 	 time= 12.042271927992504 min 	 loss= 0.4880914119495587
epoch= 19 	 time= 12.242519358793894 min 	 loss= 0.4786547671151559
Finish Training
epoch= 0 	 time= 12.441311875979105 min 	 loss= 0.713315456292846
epoch= 1 	 time= 12.642902775605519 min 	 loss= 0.6378892329606143
epoch= 2 	 time= 12.8420347849528 min 	 loss= 0.6067983444864777
epoch= 3 	 time= 13.046692419052125 min 	 loss= 0.5919001507826827
epoch= 4 	 time= 13.246347788969675 min 	 loss= 0.5805245245044882
epoch= 5 	 time= 13.448754517237345 min 	 loss= 0.5723378612405875
epoch= 6 	 time= 13.64742588599523 min 	 loss= 0.5730918045409701
epoch= 7 	 time= 13.846620345115662 min 	 loss= 0.5602680260315538
epoch= 8 	 time= 14.051698660850525 min 	 loss= 0.5537665141915733
epoch= 9 	 time= 14.2505743821462 min 	 loss= 0.555434247885238
epoch= 10 	 time= 14.451244211196899 min 	 loss= 0.5467934586277062
epoch= 11 	 time= 14.65244637330373 min 	 loss= 0.5374538140688938
epoch= 12 	 time= 14.855070090293884 min 	 loss= 0.5415304875170642
epoch= 13 	 time= 15.062562612692515 min 	 loss= 0.5401397208259864
epoch= 14 	 time= 15.264565908908844 min 	 loss= 0.5293052338741042
epoch= 15 	 time= 15.462829983234405 min 	 loss= 0.5333537103777582
epoch= 16 	 time= 15.660433765252431 min 	 loss= 0.5274278504414145
epoch= 17 	 time= 15.859864374001821 min 	 loss= 0.5244197304614565
epoch= 18 	 time= 16.058930881818135 min 	 loss= 0.5229461684823036
epoch= 19 	 time= 16.25843019882838 min 	 loss= 0.5121277805756439
Finish Training
epoch= 0 	 time= 16.457531972726187 min 	 loss= 0.6703824683346532
epoch= 1 	 time= 16.6576646566391 min 	 loss= 0.569293336333199
epoch= 2 	 time= 16.857286258538565 min 	 loss= 0.5352048968766625
epoch= 3 	 time= 17.060162488619486 min 	 loss= 0.5268110835570207
epoch= 4 	 time= 17.262389330069222 min 	 loss= 0.5066104009183949
epoch= 5 	 time= 17.46273648738861 min 	 loss= 0.5057525466788899
epoch= 6 	 time= 17.661848588784537 min 	 loss= 0.49295618707705713
epoch= 7 	 time= 17.864353374640146 min 	 loss= 0.48109012084949593
epoch= 8 	 time= 18.07133944829305 min 	 loss= 0.47767999273306816
epoch= 9 	 time= 18.27327172756195 min 	 loss= 0.478247067151824
epoch= 10 	 time= 18.476896293958028 min 	 loss= 0.4739042392339219
epoch= 11 	 time= 18.677207958698272 min 	 loss= 0.46056104917978785
epoch= 12 	 time= 18.877924462159474 min 	 loss= 0.46485574225133114
epoch= 13 	 time= 19.082602043946583 min 	 loss= 0.46229146788404746
epoch= 14 	 time= 19.284568965435028 min 	 loss= 0.45527127485044977
epoch= 15 	 time= 19.485944338639577 min 	 loss= 0.44487926760921254
epoch= 16 	 time= 19.6862899184227 min 	 loss= 0.4399586818091021
epoch= 17 	 time= 19.887387784322105 min 	 loss= 0.43457505393704526
epoch= 18 	 time= 20.088900570074717 min 	 loss= 0.43254911916288125
