cuda
3300
330
3303618
Slice group ID:  4
epoch= 0 	 time= 2.0236902038256326 min 	 loss= 1.2274102837750407
epoch= 1 	 time= 4.004986933867136 min 	 loss= 0.9817112769141342
epoch= 2 	 time= 6.01780537366867 min 	 loss= 0.9670922382311388
epoch= 3 	 time= 7.990109821160634 min 	 loss= 0.9521606607870622
epoch= 4 	 time= 10.006324605147045 min 	 loss= 0.9340955275477785
epoch= 5 	 time= 11.986124726136525 min 	 loss= 0.9133023525729324
epoch= 6 	 time= 13.994905420144399 min 	 loss= 0.8947937483137304
epoch= 7 	 time= 15.98987636566162 min 	 loss= 0.8820875120885444
epoch= 8 	 time= 17.98733235200246 min 	 loss= 0.8694747670130296
epoch= 9 	 time= 20.008289047082265 min 	 loss= 0.8612283303882137
epoch= 10 	 time= 21.99938104550044 min 	 loss= 0.8523325390887982
epoch= 11 	 time= 23.99423751831055 min 	 loss= 0.8476139204068618
epoch= 12 	 time= 25.98771351178487 min 	 loss= 0.8419779746821432
epoch= 13 	 time= 27.9766779700915 min 	 loss= 0.836487698916233
epoch= 14 	 time= 29.96932276089986 min 	 loss= 0.8316174989396875
epoch= 15 	 time= 31.966061894098917 min 	 loss= 0.8284321266593355
epoch= 16 	 time= 33.95884482463201 min 	 loss= 0.8242534937280597
epoch= 17 	 time= 35.955079940954846 min 	 loss= 0.8202241204001687
epoch= 18 	 time= 37.95003619591395 min 	 loss= 0.8174914585821557
epoch= 19 	 time= 39.943360753854115 min 	 loss= 0.8140171321955594
epoch= 20 	 time= 41.931479183832806 min 	 loss= 0.8117074755105105
epoch= 21 	 time= 43.92672708034515 min 	 loss= 0.8079558181040215
epoch= 22 	 time= 45.920267415046695 min 	 loss= 0.8065618666735562
epoch= 23 	 time= 47.906675565242764 min 	 loss= 0.80360675851504
epoch= 24 	 time= 49.8983123699824 min 	 loss= 0.7998309829018333
epoch= 25 	 time= 51.89312904278437 min 	 loss= 0.7978804572062059
epoch= 26 	 time= 53.88807982603709 min 	 loss= 0.7960509309262941
epoch= 27 	 time= 56.532743108272555 min 	 loss= 0.7941846146728053
epoch= 28 	 time= 59.38555989662806 min 	 loss= 0.7923590802785122
epoch= 29 	 time= 62.24312117099762 min 	 loss= 0.7906575746608503
epoch= 30 	 time= 65.10594404141108 min 	 loss= 0.7786409192013019
epoch= 31 	 time= 67.97025450468064 min 	 loss= 0.7723097734379046
epoch= 32 	 time= 70.81789618333181 min 	 loss= 0.7694634831312931
epoch= 33 	 time= 73.67358903487523 min 	 loss= 0.7673574185732639
