cuda
3300
The slice id is: 3
413
13177026
epoch= 0 	 time= 3.7548858682314554 min 	 loss= 4.429930326725033
[4.42993033]
epoch= 1 	 time= 7.493099371592204 min 	 loss= 4.140908849152757
epoch= 2 	 time= 11.23607859214147 min 	 loss= 4.085349498014473
epoch= 3 	 time= 14.983291629950205 min 	 loss= 4.035620063038196
epoch= 4 	 time= 18.72669279972712 min 	 loss= 3.9584111878716053
epoch= 5 	 time= 22.46221786737442 min 	 loss= 3.8663303474681427
epoch= 6 	 time= 26.201624719301858 min 	 loss= 3.7736762652746414
epoch= 7 	 time= 29.94358598391215 min 	 loss= 3.7377039999419206
epoch= 8 	 time= 33.686757516860965 min 	 loss= 3.702772951804408
epoch= 9 	 time= 37.42762051423391 min 	 loss= 3.6661108327763423
epoch= 10 	 time= 41.183480588595074 min 	 loss= 3.589147163577576
epoch= 11 	 time= 44.940518248081204 min 	 loss= 3.5335686252278795
epoch= 12 	 time= 48.689430288473766 min 	 loss= 3.5446455385220252
epoch= 13 	 time= 52.438031117121376 min 	 loss= 3.499267052110402
epoch= 14 	 time= 56.18972865740458 min 	 loss= 3.4182806028364356
epoch= 15 	 time= 59.944161248207095 min 	 loss= 3.3750057182574675
epoch= 16 	 time= 63.69688802957535 min 	 loss= 3.3175917525773477
epoch= 17 	 time= 67.45016491413116 min 	 loss= 3.3516075506842453
epoch= 18 	 time= 71.20341338713963 min 	 loss= 3.346327772079888
epoch= 19 	 time= 74.95753113428752 min 	 loss= 3.268042179216917
epoch= 20 	 time= 78.70991781155269 min 	 loss= 3.247446641614593
epoch= 21 	 time= 82.45875586271286 min 	 loss= 3.201562795093504
epoch= 22 	 time= 86.20843103726705 min 	 loss= 3.1552154829874453
epoch= 23 	 time= 89.96172368923823 min 	 loss= 3.1429104674742816
epoch= 24 	 time= 93.71321538289388 min 	 loss= 3.164044723095097
epoch= 25 	 time= 97.46439051628113 min 	 loss= 3.1099270321158174
epoch= 26 	 time= 101.2172556122144 min 	 loss= 3.070415250181286
