cuda
3300
The slice id is: 5
825
13177026
epoch= 0 	 time= 4.687909797827403 min 	 loss= 4.322498934774687
epoch= 1 	 time= 9.052873063087464 min 	 loss= 4.062185605367024
epoch= 2 	 time= 12.906556065877279 min 	 loss= 4.004986939863725
epoch= 3 	 time= 16.9184654712677 min 	 loss= 4.012582360180941
epoch= 4 	 time= 21.001557044188182 min 	 loss= 3.953804870807763
epoch= 5 	 time= 27.34958936770757 min 	 loss= 3.8912050001549
epoch= 6 	 time= 34.391156641642254 min 	 loss= 3.8359054242480886
epoch= 7 	 time= 39.97094034751256 min 	 loss= 3.8017682885762416
epoch= 8 	 time= 43.82143873373668 min 	 loss= 3.7853951613108316
epoch= 9 	 time= 49.68369762500127 min 	 loss= 3.7446033765330458
epoch= 10 	 time= 56.498221512635546 min 	 loss= 3.722506757505012
epoch= 11 	 time= 63.68935927549998 min 	 loss= 3.658184722517476
epoch= 12 	 time= 70.89940829674403 min 	 loss= 3.571104846939896
epoch= 13 	 time= 78.08617474238078 min 	 loss= 3.5448814014955
epoch= 14 	 time= 85.29226628939311 min 	 loss= 3.5153568639177264
epoch= 15 	 time= 92.50247259140015 min 	 loss= 3.4717362730792076
epoch= 16 	 time= 99.71887236436208 min 	 loss= 3.458005451216842
epoch= 17 	 time= 105.30166821479797 min 	 loss= 3.407438322197307
epoch= 18 	 time= 109.1467259367307 min 	 loss= 3.4261171316016803
epoch= 19 	 time= 112.99954385757447 min 	 loss= 3.3675901990587063
epoch= 20 	 time= 116.8519606033961 min 	 loss= 3.3413620418490786
epoch= 21 	 time= 120.71090238889059 min 	 loss= 3.3222153436415125
epoch= 22 	 time= 124.576127298673 min 	 loss= 3.334899607246572
epoch= 23 	 time= 128.4411624590556 min 	 loss= 3.316943694714344
epoch= 24 	 time= 132.3023067553838 min 	 loss= 3.2635164691823904
epoch= 25 	 time= 136.17156267563502 min 	 loss= 3.258405312082984
epoch= 26 	 time= 140.02677268187205 min 	 loss= 3.304231926383394
epoch= 27 	 time= 143.88285300334294 min 	 loss= 3.300648499185389
epoch= 28 	 time= 147.74288798967999 min 	 loss= 3.2144249167586816
epoch= 29 	 time= 151.6039519627889 min 	 loss= 3.1963190964496495
epoch= 30 	 time= 155.46381968657175 min 	 loss= 3.198239498138428
epoch= 31 	 time= 159.32373858292897 min 	 loss= 3.1952925315047755
epoch= 32 	 time= 163.1818870464961 min 	 loss= 3.1676109384045454
epoch= 33 	 time= 167.04090458949406 min 	 loss= 3.16748577988509
epoch= 34 	 time= 170.8994533975919 min 	 loss= 3.266611130129207
epoch= 35 	 time= 174.7590912302335 min 	 loss= 3.3893221643115536
epoch= 36 	 time= 178.620838534832 min 	 loss= 3.203667324925914
epoch= 37 	 time= 182.48119510809582 min 	 loss= 3.166058017918558
epoch= 38 	 time= 186.35152521133423 min 	 loss= 3.127709018642252
epoch= 39 	 time= 190.22002985874812 min 	 loss= 3.1078109536748943
epoch= 40 	 time= 194.08550610144934 min 	 loss= 3.108672050689206
epoch= 41 	 time= 197.93854993979136 min 	 loss= 3.1278830909006525
epoch= 42 	 time= 201.7986446738243 min 	 loss= 3.189886893937082
epoch= 43 	 time= 205.66086648702623 min 	 loss= 3.103915439482891
epoch= 44 	 time= 209.52617846727372 min 	 loss= 3.079759525638638
epoch= 45 	 time= 213.39015247424445 min 	 loss= 3.0985429031198675
epoch= 46 	 time= 217.26069372097652 min 	 loss= 3.104298155524514
epoch= 47 	 time= 221.12323183616002 min 	 loss= 3.085297809116768
epoch= 48 	 time= 224.97981443802516 min 	 loss= 3.0667307103763926
epoch= 49 	 time= 228.83801062107085 min 	 loss= 3.064752191594153
epoch= 50 	 time= 232.70250896215438 min 	 loss= 3.070519420486508
epoch= 51 	 time= 236.5408684293429 min 	 loss= 3.0742773154648866
epoch= 52 	 time= 240.4077957034111 min 	 loss= 3.0547761388980983
epoch= 53 	 time= 244.31088418563206 min 	 loss= 3.0374018135215297
epoch= 54 	 time= 248.2809312860171 min 	 loss= 3.0259996555068276
epoch= 55 	 time= 252.05599522193273 min 	 loss= 3.01777542385188
epoch= 56 	 time= 255.8388686656952 min 	 loss= 3.083341302943952
epoch= 57 	 time= 259.63493392070137 min 	 loss= 3.053528292684844
epoch= 58 	 time= 263.4589462240537 min 	 loss= 3.00884232860623
epoch= 59 	 time= 267.2898186445236 min 	 loss= 3.0060486235221227
epoch= 60 	 time= 271.1092694838842 min 	 loss= 3.027897969213399
epoch= 61 	 time= 274.9905620614688 min 	 loss= 2.999962299664815
epoch= 62 	 time= 278.9034546613693 min 	 loss= 2.987675144058285
epoch= 63 	 time= 282.70762631495796 min 	 loss= 2.9752605104085172
epoch= 64 	 time= 286.52785243988035 min 	 loss= 2.978575644348607
epoch= 65 	 time= 290.3522976676623 min 	 loss= 2.9834557109168083
epoch= 66 	 time= 294.33616130749385 min 	 loss= 2.9725648270411926
epoch= 67 	 time= 298.1803055326144 min 	 loss= 2.981535618323268
epoch= 68 	 time= 302.02357738812765 min 	 loss= 2.963457823142861
epoch= 69 	 time= 305.78837402264276 min 	 loss= 2.961125660376115
epoch= 70 	 time= 309.5772787809372 min 	 loss= 2.9480797930558524
epoch= 71 	 time= 313.3550473213196 min 	 loss= 2.9458239608822447
epoch= 72 	 time= 317.14055703083676 min 	 loss= 2.96227610949314
epoch= 73 	 time= 320.9236258109411 min 	 loss= 2.9781295652461774
epoch= 74 	 time= 324.7791407783826 min 	 loss= 2.951984200333104
epoch= 75 	 time= 328.5395166595777 min 	 loss= 2.9252023446559905
epoch= 76 	 time= 332.30877254803977 min 	 loss= 2.9294223115480307
epoch= 77 	 time= 336.09131124416984 min 	 loss= 2.915403507406061
epoch= 78 	 time= 339.87748383283616 min 	 loss= 2.923528341885769
epoch= 79 	 time= 343.6604830821355 min 	 loss= 2.9226913797494136
epoch= 80 	 time= 347.4482668479284 min 	 loss= 2.9417340163028602
epoch= 81 	 time= 351.2496349136035 min 	 loss= 3.0370397811586205
epoch= 82 	 time= 355.0717574199041 min 	 loss= 2.9214320650245202
epoch= 83 	 time= 358.8830432613691 min 	 loss= 2.8973053842241114
epoch= 84 	 time= 362.66450438499453 min 	 loss= 2.9030814745209432
epoch= 85 	 time= 366.4086518327395 min 	 loss= 2.896490131183104
epoch= 86 	 time= 370.2318879683813 min 	 loss= 2.8920104533795152
epoch= 87 	 time= 374.0164338469505 min 	 loss= 2.9953984967145053
epoch= 88 	 time= 377.7993185957273 min 	 loss= 2.9009101567304496
epoch= 89 	 time= 381.549802839756 min 	 loss= 2.872547898942774
epoch= 90 	 time= 385.33390026489894 min 	 loss= 2.8663205728025147
epoch= 91 	 time= 389.10182983875274 min 	 loss= 2.881065552613952
epoch= 92 	 time= 392.85374575455984 min 	 loss= 2.882184851187648
epoch= 93 	 time= 396.6649757941564 min 	 loss= 2.8790515489289255
