cuda
3300
330
3303618
Slice group ID:  4
epoch= 0 	 time= 2.046722388267517 min 	 loss= 1.2331392725308736
epoch= 1 	 time= 4.063187527656555 min 	 loss= 0.9809054405400247
epoch= 2 	 time= 6.086904422442118 min 	 loss= 0.9664271569613254
epoch= 3 	 time= 8.110851919651031 min 	 loss= 0.9546925685622475
epoch= 4 	 time= 10.12877624432246 min 	 loss= 0.94029202894731
epoch= 5 	 time= 12.148258713881175 min 	 loss= 0.9211476483128288
epoch= 6 	 time= 14.166611476739247 min 	 loss= 0.9016713088208979
epoch= 7 	 time= 16.156941978136697 min 	 loss= 0.8867527390971328
epoch= 8 	 time= 18.147180366516114 min 	 loss= 0.8750927677660277
epoch= 9 	 time= 20.144549198945363 min 	 loss= 0.8652397206335357
epoch= 10 	 time= 22.15408883492152 min 	 loss= 0.8572189726612784
epoch= 11 	 time= 24.164305460453033 min 	 loss= 0.8506736059983572
epoch= 12 	 time= 26.175238859653472 min 	 loss= 0.8449107200810404
epoch= 13 	 time= 28.186055183410645 min 	 loss= 0.8390768114364509
epoch= 14 	 time= 30.197195613384245 min 	 loss= 0.8346450664780357
epoch= 15 	 time= 32.20929771264394 min 	 loss= 0.8312664107842879
epoch= 16 	 time= 34.21813810269038 min 	 loss= 0.8268116513888041
epoch= 17 	 time= 36.204045712947845 min 	 loss= 0.8227810362974802
epoch= 18 	 time= 38.20843764940898 min 	 loss= 0.8194743682037701
epoch= 19 	 time= 41.040776602427165 min 	 loss= 0.8166917110934402
epoch= 20 	 time= 44.79724478324254 min 	 loss= 0.8132219341668215
epoch= 21 	 time= 48.55422659715017 min 	 loss= 0.8104702358896082
epoch= 22 	 time= 52.32787569363912 min 	 loss= 0.8085916943622358
epoch= 23 	 time= 56.08123488823573 min 	 loss= 0.8060549849813635
epoch= 24 	 time= 59.86080933411916 min 	 loss= 0.8033922744519782
epoch= 25 	 time= 63.631439073880514 min 	 loss= 0.7999216726332
epoch= 26 	 time= 67.40910944938659 min 	 loss= 0.797919984477939
epoch= 27 	 time= 71.19316544532776 min 	 loss= 0.7963654039484082
epoch= 28 	 time= 74.96957058906555 min 	 loss= 0.7942629794279734
epoch= 29 	 time= 78.74503647089004 min 	 loss= 0.7924548692775495
epoch= 30 	 time= 82.52695497671763 min 	 loss= 0.7804462506915584
epoch= 31 	 time= 86.30147666136423 min 	 loss= 0.7745228530782642
epoch= 32 	 time= 90.08491288423538 min 	 loss= 0.7717690722508864
epoch= 33 	 time= 93.86060258944829 min 	 loss= 0.7698184930916988
epoch= 34 	 time= 97.65083550612131 min 	 loss= 0.7682700368491087
epoch= 35 	 time= 101.43280352751414 min 	 loss= 0.7669749803615339
epoch= 36 	 time= 105.22104498545329 min 	 loss= 0.7657581997640205
epoch= 37 	 time= 108.99032630920411 min 	 loss= 0.7648635792009758
epoch= 38 	 time= 112.77470616102218 min 	 loss= 0.7637563037149834
epoch= 39 	 time= 116.55352020263672 min 	 loss= 0.7630316755988381
epoch= 40 	 time= 120.33944875001907 min 	 loss= 0.7620568345893514
epoch= 41 	 time= 124.12365318536759 min 	 loss= 0.7612467263684128
epoch= 42 	 time= 127.91362588802973 min 	 loss= 0.760525421482144
epoch= 43 	 time= 131.69258656104407 min 	 loss= 0.7600010698491877
epoch= 44 	 time= 135.47490083376567 min 	 loss= 0.7590876400470734
epoch= 45 	 time= 139.2473212480545 min 	 loss= 0.7584335549311204
epoch= 46 	 time= 143.0309908747673 min 	 loss= 0.7578260170690941
epoch= 47 	 time= 146.8221054673195 min 	 loss= 0.7572603825366858
epoch= 48 	 time= 150.6092121243477 min 	 loss= 0.7566433586857536
epoch= 49 	 time= 154.38989319006603 min 	 loss= 0.7559789299964905
epoch= 50 	 time= 158.17482819954554 min 	 loss= 0.7556106121251077
epoch= 51 	 time= 161.95958674748738 min 	 loss= 0.7548439845894322
epoch= 52 	 time= 165.73805853923162 min 	 loss= 0.754260998061209
epoch= 53 	 time= 169.53507236639658 min 	 loss= 0.7538694715861118
epoch= 54 	 time= 173.31415851513546 min 	 loss= 0.7533552933822979
epoch= 55 	 time= 177.08824046055477 min 	 loss= 0.7528278706651745
epoch= 56 	 time= 180.8569608370463 min 	 loss= 0.7524608393510183
epoch= 57 	 time= 184.6372569322586 min 	 loss= 0.7519642679980307
epoch= 58 	 time= 188.42310322523116 min 	 loss= 0.7514847697633685
epoch= 59 	 time= 192.2122211297353 min 	 loss= 0.7510216232502099
epoch= 60 	 time= 195.9877577662468 min 	 loss= 0.7494044078118873
epoch= 61 	 time= 199.76836566527683 min 	 loss= 0.7491252731193195
epoch= 62 	 time= 203.54568688869477 min 	 loss= 0.7489037035089551
epoch= 63 	 time= 207.33296237389246 min 	 loss= 0.7486565026369962
epoch= 64 	 time= 211.10793739557266 min 	 loss= 0.7487021531119491
epoch= 65 	 time= 214.883125436306 min 	 loss= 0.7485174133922115
epoch= 66 	 time= 218.65268459717433 min 	 loss= 0.7483200042536764
epoch= 67 	 time= 222.44073315461478 min 	 loss= 0.7481725306221934
epoch= 68 	 time= 226.2164682030678 min 	 loss= 0.7481429118098635
epoch= 69 	 time= 229.99332720836003 min 	 loss= 0.748045076565309
epoch= 70 	 time= 233.7711830019951 min 	 loss= 0.7479575207739165
epoch= 71 	 time= 237.5545338869095 min 	 loss= 0.7479148382490332
epoch= 72 	 time= 241.3235032359759 min 	 loss= 0.7478820775494431
epoch= 73 	 time= 245.10325070619584 min 	 loss= 0.7478023691610857
epoch= 74 	 time= 248.87384215593337 min 	 loss= 0.7477226970773755
epoch= 75 	 time= 252.65323392947514 min 	 loss= 0.7477089152191625
epoch= 76 	 time= 256.43629132906597 min 	 loss= 0.7475659731662635
epoch= 77 	 time= 260.2222147901853 min 	 loss= 0.7476872156966816
epoch= 78 	 time= 264.00021247466407 min 	 loss= 0.7476025897445101
epoch= 79 	 time= 267.77995833555855 min 	 loss= 0.7474476696866932
epoch= 80 	 time= 271.55939254760744 min 	 loss= 0.7473848366376126
epoch= 81 	 time= 275.335084660848 min 	 loss= 0.7472789997404272
epoch= 82 	 time= 279.11572895447415 min 	 loss= 0.7471478953506008
epoch= 83 	 time= 282.8809262037277 min 	 loss= 0.7471528047865087
epoch= 84 	 time= 286.6416295607885 min 	 loss= 0.7471040570374691
