cuda
3300
825
13177026
Slice group ID:  5
epoch= 0 	 time= 7.740720093250275 min 	 loss= 1.4183607831145777
epoch= 1 	 time= 15.389965609709423 min 	 loss= 1.3131650868329134
epoch= 2 	 time= 23.04081795612971 min 	 loss= 1.2977345430489742
epoch= 3 	 time= 30.696623675028484 min 	 loss= 1.2779609417192863
epoch= 4 	 time= 38.34977018038432 min 	 loss= 1.2472271591244322
epoch= 5 	 time= 46.00261428753535 min 	 loss= 1.2192669185725125
epoch= 6 	 time= 53.66021531025569 min 	 loss= 1.1964350480021853
epoch= 7 	 time= 61.32456859747569 min 	 loss= 1.180483984080228
epoch= 8 	 time= 69.03032897313436 min 	 loss= 1.1674865706039197
epoch= 9 	 time= 76.73575955231985 min 	 loss= 1.1561329028100678
epoch= 10 	 time= 84.41163829962413 min 	 loss= 1.146828670429461
epoch= 11 	 time= 92.10853917201361 min 	 loss= 1.1371654816829797
epoch= 12 	 time= 99.79545160134633 min 	 loss= 1.1298269118684712
epoch= 13 	 time= 107.46289128462473 min 	 loss= 1.1230641404065218
epoch= 14 	 time= 115.11739023526509 min 	 loss= 1.1164335399685483
epoch= 15 	 time= 122.76060918569564 min 	 loss= 1.110375441348914
epoch= 16 	 time= 130.399908498923 min 	 loss= 1.1042161074551669
epoch= 17 	 time= 138.06682922442755 min 	 loss= 1.098622422435067
epoch= 18 	 time= 145.7367400209109 min 	 loss= 1.094325121821779
epoch= 19 	 time= 153.40794288714727 min 	 loss= 1.0892498314019405
epoch= 20 	 time= 161.09934595823287 min 	 loss= 1.085403711940303
epoch= 21 	 time= 168.7857459863027 min 	 loss= 1.0811029812061426
epoch= 22 	 time= 176.4800549308459 min 	 loss= 1.0775179529190064
epoch= 23 	 time= 184.12822827498118 min 	 loss= 1.0740046126192266
epoch= 24 	 time= 191.78159041404723 min 	 loss= 1.070438977732803
epoch= 25 	 time= 199.43442553679148 min 	 loss= 1.0672218536608147
epoch= 26 	 time= 207.1036314209302 min 	 loss= 1.064138979550564
epoch= 27 	 time= 214.7710811773936 min 	 loss= 1.0612271619565559
epoch= 28 	 time= 222.415531428655 min 	 loss= 1.058247032960256
epoch= 29 	 time= 230.070348294576 min 	 loss= 1.055677977475253
epoch= 30 	 time= 237.73990479707717 min 	 loss= 1.0386947373910385
epoch= 31 	 time= 245.44066535631816 min 	 loss= 1.0290305399172235
epoch= 32 	 time= 253.14906349579493 min 	 loss= 1.024284164905548
epoch= 33 	 time= 260.8582082907359 min 	 loss= 1.020983950369286
epoch= 34 	 time= 268.5409670988719 min 	 loss= 1.0183079779509343
epoch= 35 	 time= 276.2162391424179 min 	 loss= 1.0160099898685109
epoch= 36 	 time= 283.88788644870124 min 	 loss= 1.0141045450441766
epoch= 37 	 time= 291.55495825608574 min 	 loss= 1.012285033789548
epoch= 38 	 time= 299.22452713648477 min 	 loss= 1.010705280448451
epoch= 39 	 time= 306.8997965772947 min 	 loss= 1.0090982741298098
epoch= 40 	 time= 314.56495901346204 min 	 loss= 1.0076023803335248
epoch= 41 	 time= 322.2400358637174 min 	 loss= 1.0063525012767676
epoch= 42 	 time= 329.9032109816869 min 	 loss= 1.0050839388009274
epoch= 43 	 time= 337.553382897377 min 	 loss= 1.003831049673485
epoch= 44 	 time= 345.19507218201954 min 	 loss= 1.0027081431764544
epoch= 45 	 time= 352.8589194774628 min 	 loss= 1.0015361057628285
epoch= 46 	 time= 360.54193869431816 min 	 loss= 1.000426329049197
epoch= 47 	 time= 368.223149506251 min 	 loss= 0.9993849203803322
epoch= 48 	 time= 375.88342797756195 min 	 loss= 0.9983850904667017
epoch= 49 	 time= 383.53275866905847 min 	 loss= 0.9974093989169959
epoch= 50 	 time= 391.18932518164314 min 	 loss= 0.9963868331186699
epoch= 51 	 time= 398.85834392309187 min 	 loss= 0.9955098334948221
epoch= 52 	 time= 406.5364017764727 min 	 loss= 0.9946153925404404
