cuda
3300
The slice id is: 5
825
13177026
epoch= 0 	 time= 7.405826461315155 min 	 loss= 4.304550215981223
epoch= 1 	 time= 14.741547588507334 min 	 loss= 4.065707023794001
epoch= 2 	 time= 22.07058980067571 min 	 loss= 4.010331805547079
epoch= 3 	 time= 29.406992908318838 min 	 loss= 3.9793066617214317
epoch= 4 	 time= 36.74977921247482 min 	 loss= 3.934794070214936
epoch= 5 	 time= 44.08589951594671 min 	 loss= 3.9276783684166996
epoch= 6 	 time= 51.48470141092936 min 	 loss= 3.844113206357667
epoch= 7 	 time= 58.88621016343435 min 	 loss= 3.8011821975130022
epoch= 8 	 time= 66.28706786632537 min 	 loss= 3.759867792563005
epoch= 9 	 time= 73.68882288535436 min 	 loss= 3.7246355351173515
epoch= 10 	 time= 81.09207997322082 min 	 loss= 3.678930039622567
epoch= 11 	 time= 88.49170824686686 min 	 loss= 3.639503560066223
epoch= 12 	 time= 95.82412430842717 min 	 loss= 3.578127954981544
epoch= 13 	 time= 103.15681937932968 min 	 loss= 3.5506985156463853
epoch= 14 	 time= 110.49482402006785 min 	 loss= 3.525047570141879
epoch= 15 	 time= 117.84335007270177 min 	 loss= 3.5178409508864084
epoch= 16 	 time= 125.1581360300382 min 	 loss= 3.443667178442984
epoch= 17 	 time= 132.52580360174179 min 	 loss= 3.4783817223707834
epoch= 18 	 time= 139.84842625459035 min 	 loss= 3.411064747427449
epoch= 19 	 time= 147.1809024254481 min 	 loss= 3.369248807177399
epoch= 20 	 time= 154.51695532004038 min 	 loss= 3.369415118513685
epoch= 21 	 time= 161.84735734462737 min 	 loss= 3.3513718914624415
epoch= 22 	 time= 169.20329801241556 min 	 loss= 3.3264817598371796
epoch= 23 	 time= 176.53399473031362 min 	 loss= 3.3058648164705797
epoch= 24 	 time= 183.8860340754191 min 	 loss= 3.276657918619387
epoch= 25 	 time= 191.21490979592005 min 	 loss= 3.2619104089158952
epoch= 26 	 time= 198.5289414246877 min 	 loss= 3.2910829040498446
epoch= 27 	 time= 205.87112208604813 min 	 loss= 3.24698959997206
epoch= 28 	 time= 213.20439675251643 min 	 loss= 3.221831350037546
epoch= 29 	 time= 220.54592734177908 min 	 loss= 3.2326845359802245
epoch= 30 	 time= 227.88125054438908 min 	 loss= 3.2297077811486794
epoch= 31 	 time= 235.20910251537958 min 	 loss= 3.2706257957761937
epoch= 32 	 time= 242.52243733406067 min 	 loss= 3.194189567457546
epoch= 33 	 time= 249.8546322107315 min 	 loss= 3.2010298843817275
epoch= 34 	 time= 257.18415789206824 min 	 loss= 3.254035164912542
epoch= 35 	 time= 264.51726332505547 min 	 loss= 3.1679475849686245
epoch= 36 	 time= 271.84804170131684 min 	 loss= 3.132760482231776
epoch= 37 	 time= 279.1938300848007 min 	 loss= 3.129995062676343
epoch= 38 	 time= 286.5248952190081 min 	 loss= 3.1349285157160325
epoch= 39 	 time= 293.8516690572103 min 	 loss= 3.14049700867046
epoch= 40 	 time= 301.19445104201634 min 	 loss= 3.129419272885178
epoch= 41 	 time= 308.5298264145851 min 	 loss= 3.1185036889712014
epoch= 42 	 time= 315.8355892976125 min 	 loss= 3.1187472808361054
epoch= 43 	 time= 323.17663727998735 min 	 loss= 3.1078498862367687
epoch= 44 	 time= 330.5310916264852 min 	 loss= 3.100918997598417
epoch= 45 	 time= 337.9047231634458 min 	 loss= 3.0786645290165238
epoch= 46 	 time= 345.307379758358 min 	 loss= 3.0840185475710666
epoch= 47 	 time= 352.7086262345314 min 	 loss= 3.080558746475162
epoch= 48 	 time= 360.1019228577614 min 	 loss= 3.065057345267498
epoch= 49 	 time= 367.50212378899255 min 	 loss= 3.0475463434421655
epoch= 50 	 time= 374.9001791437467 min 	 loss= 3.035384779843417
epoch= 51 	 time= 382.30220465660096 min 	 loss= 3.1328110964551117
epoch= 52 	 time= 389.6783886353175 min 	 loss= 3.0941181665478332
epoch= 53 	 time= 397.0340879122416 min 	 loss= 3.037204023184198
epoch= 54 	 time= 404.3932489514351 min 	 loss= 3.0076018696120292
epoch= 55 	 time= 411.74332994620005 min 	 loss= 3.009304996710835
epoch= 56 	 time= 419.0798287630081 min 	 loss= 3.0066909618991793
epoch= 57 	 time= 426.4227898001671 min 	 loss= 3.009068735476696
epoch= 58 	 time= 433.76437199115753 min 	 loss= 3.073561393925638
epoch= 59 	 time= 441.1073471148809 min 	 loss= 3.005997050928347
epoch= 60 	 time= 448.46339246431984 min 	 loss= 3.0208282033963636
epoch= 61 	 time= 455.82119506200155 min 	 loss= 3.003941315990506
epoch= 62 	 time= 463.17880277236304 min 	 loss= 2.971951137817267
epoch= 63 	 time= 470.5447672645251 min 	 loss= 3.066108242526199
epoch= 64 	 time= 477.8965011715889 min 	 loss= 2.9822629907456313
epoch= 65 	 time= 485.2447677612305 min 	 loss= 2.9589886821761278
epoch= 66 	 time= 492.58663011391957 min 	 loss= 2.9520407808910716
epoch= 67 	 time= 499.91901012261707 min 	 loss= 2.968730212955764
epoch= 68 	 time= 507.26519009272255 min 	 loss= 2.9919112235127074
epoch= 69 	 time= 514.6164449413617 min 	 loss= 2.981866008910266
epoch= 70 	 time= 521.963271856308 min 	 loss= 2.9457477364756843
epoch= 71 	 time= 529.3170826276144 min 	 loss= 2.935415873708147
epoch= 72 	 time= 536.6729361375172 min 	 loss= 2.9859337044123446
epoch= 73 	 time= 544.0152883092562 min 	 loss= 2.942181550896529
epoch= 74 	 time= 551.366951195399 min 	 loss= 2.922580828486067
epoch= 75 	 time= 558.7111295302709 min 	 loss= 2.945712423198151
epoch= 76 	 time= 566.0532501975696 min 	 loss= 2.926361991492185
epoch= 77 	 time= 573.4007987777392 min 	 loss= 2.9266155129490476
epoch= 78 	 time= 580.7575459599495 min 	 loss= 2.937151605902296
epoch= 79 	 time= 588.1108511646588 min 	 loss= 2.9061201105876404
epoch= 80 	 time= 595.4842532555263 min 	 loss= 2.907061352513053
epoch= 81 	 time= 602.8324664155642 min 	 loss= 2.9484287134625693
epoch= 82 	 time= 610.1865923285484 min 	 loss= 2.901997207583803
epoch= 83 	 time= 617.5332473158836 min 	 loss= 2.8859050795345595
epoch= 84 	 time= 624.8699631571769 min 	 loss= 2.915253209670385
epoch= 85 	 time= 632.2090160767237 min 	 loss= 2.889609105930184
epoch= 86 	 time= 639.5692482829094 min 	 loss= 2.8802263168493907
epoch= 87 	 time= 646.9445051431655 min 	 loss= 2.895564064816995
epoch= 88 	 time= 654.3270574053129 min 	 loss= 2.8812722898974563
epoch= 89 	 time= 661.7308881759643 min 	 loss= 2.8871821214935998
epoch= 90 	 time= 669.1351584076881 min 	 loss= 2.987933069214676
epoch= 91 	 time= 676.5385938008626 min 	 loss= 2.869390341729829
epoch= 92 	 time= 683.9428559541702 min 	 loss= 2.850309454202652
