cuda
3300
66
epoch= 0 	 time= 0.7860670208930969 min 	 loss= 0.8021031338439295
epoch= 1 	 time= 1.5265304406483968 min 	 loss= 0.01586726688864556
epoch= 2 	 time= 2.283102484544118 min 	 loss= 0.014555240388620983
epoch= 3 	 time= 3.038223052024841 min 	 loss= 0.013753824895530037
epoch= 4 	 time= 3.785109281539917 min 	 loss= 0.013339813262449972
epoch= 5 	 time= 4.525598768393198 min 	 loss= 0.013086278513638359
epoch= 6 	 time= 5.268544634183248 min 	 loss= 0.012850806893159946
epoch= 7 	 time= 6.013136601448059 min 	 loss= 0.012730632513535746
epoch= 8 	 time= 6.762883595625559 min 	 loss= 0.012452195102179592
epoch= 9 	 time= 7.522427237033844 min 	 loss= 0.012470723059254162
epoch= 10 	 time= 8.27361019452413 min 	 loss= 0.012113905483574577
epoch= 11 	 time= 9.01624393860499 min 	 loss= 0.01195360904305496
epoch= 12 	 time= 9.760237542788188 min 	 loss= 0.011921463675345436
epoch= 13 	 time= 10.503394667307536 min 	 loss= 0.011669960776061722
epoch= 14 	 time= 11.252669636408488 min 	 loss= 0.011451782496420272
epoch= 15 	 time= 12.009414712587992 min 	 loss= 0.011284122624519196
epoch= 16 	 time= 12.754276323318482 min 	 loss= 0.011086594510936377
epoch= 17 	 time= 13.496624958515167 min 	 loss= 0.011099208118111797
epoch= 18 	 time= 14.242336861292522 min 	 loss= 0.010837929238649931
epoch= 19 	 time= 14.988513791561127 min 	 loss= 0.01047971775529511
epoch= 20 	 time= 15.74401614665985 min 	 loss= 0.01036903542946234
epoch= 21 	 time= 16.49867715835571 min 	 loss= 0.010172765589121616
epoch= 22 	 time= 17.241537614663443 min 	 loss= 0.01028527310964736
epoch= 23 	 time= 17.984064928690593 min 	 loss= 0.010009098586372354
epoch= 24 	 time= 18.7290500164032 min 	 loss= 0.00985409118319777
epoch= 25 	 time= 19.475576424598692 min 	 loss= 0.009760281628449306
epoch= 26 	 time= 20.225303840637206 min 	 loss= 0.009691912469200113
epoch= 27 	 time= 20.976919559637704 min 	 loss= 0.0096184998383802
epoch= 28 	 time= 21.72084627946218 min 	 loss= 0.009583945266168677
epoch= 29 	 time= 22.46484150091807 min 	 loss= 0.009440200502109346
epoch= 30 	 time= 23.206652744611105 min 	 loss= 0.009397531330416148
epoch= 31 	 time= 23.949951505661012 min 	 loss= 0.009445902030689247
epoch= 32 	 time= 24.70081708431244 min 	 loss= 0.009332203891862071
